oem,type,name,description,cost,rate,brand,models
AF2035,空气滤芯,AF2035,AIR ELEMENT,,0,G-STOP,
AF2054,空气滤芯,AF2054,AIR ELEMENT,140,280,YBD,
AF3030,空气滤芯,AF3030,AIR ELEMENT,,300,G-STOP,
AF7001,空气滤芯,AF7001,AIR ELEMENT,,350,G-STOP,
87139-52020,空气滤芯,87139-52020,AIR ELEMENT,,280,KOTOY,
AF1080,空气滤芯,AF1080,AIR ELEMENT,,0,G-STOP,
AF1072,空气滤芯,AF1072,AIR ELEMENT,,0,G-STOP,
AB1002,悬挂臂衬套,AB1002,ARM BUSH,70,140,YBD,
AB1033,悬挂臂衬套,AB1033,ARM BUSH,85,170,YBD,
AB1034,悬挂臂衬套,AB1034,ARM BUSH,120,240,YBD,
AB1043,悬挂臂衬套,AB1043,ARM BUSH,100,200,YBD,
BB-2WD,刹车助力鼓,BB-2WD,BRAKE BOSSTER,650,1300,YBD,
43512-48010,刹车盘,43512-48010,BRAKE DISC,,0,UNKNOW,
MBP1017,刹车总泵,MBP1017,BRAKE MASTER CYLINDER,400,800,YBD,
MBP1019,刹车总泵,MBP1019,BRAKE MASTER CYLINDER,250,500,YBD,
BP1003,刹车片,BP1003,BRAKE PAD,240,480,YBD,
BP1008,刹车片,BP1008,BRAKE PAD,300,600,YBD,
BP1010,刹车片,BP1010,BRAKE PAD,200,400,YBD,
BP1011,刹车片,BP1011,BRAKE PAD,260,520,YBD,
BP1017,刹车片,BP1017,BRAKE PAD,250,500,YBD,
BP1023,刹车片,BP1023,BRAKE PAD,240,480,YBD,
BP1024,刹车片,BP1024,BRAKE PAD,240,480,YBD,
BP1032,刹车片,BP1032,BRAKE PAD,260,520,YBD,
BP1040,刹车片,BP1040,BRAKE PAD,200,400,YBD,
BP1042,刹车片,BP1042,BRAKE PAD,200,400,YBD,
BP1054,刹车片,BP1054,BRAKE PAD,350,700,YBD,
BP1055,刹车片,BP1055,BRAKE PAD,240,480,YBD,
BP1066,刹车片,BP1066,BRAKE PAD,240,480,YBD,
BP1068,刹车片,BP1068,BRAKE PAD,240,480,YBD,
BP13015,刹车片,BP13015,BRAKE PAD,240,480,YBD,
BP14015,刹车片,BP14015,BRAKE PAD,500,1000,YBD,
BP16007,刹车片,BP16007,BRAKE PAD,280,560,YBD,
BP16009,刹车片,BP16009,BRAKE PAD,240,480,YBD,
BP2009,刹车片,BP2009,BRAKE PAD,200,400,YBD,
BP2032,刹车片,BP2032,BRAKE PAD,200,400,YBD,
BP24010,刹车片,BP24010,BRAKE PAD,500,1000,YBD,
BP3070,刹车片,BP3070,BRAKE PAD,200,400,YBD,
BP3071,刹车片,BP3071,BRAKE PAD,250,500,YBD,
BP4024,刹车片,BP4024,BRAKE PAD,320,640,YBD,
BP49001,刹车片,BP49001,BRAKE PAD,320,640,YBD,
BP5001,刹车片,BP5001,BRAKE PAD,240,480,YBD,
BP5002,刹车片,BP5002,BRAKE PAD,200,400,YBD,
BP5007,刹车片,BP5007,BRAKE PAD,240,480,YBD,
BP7030,刹车片,BP7030,BRAKE PAD,450,900,YBD,
BP7039,刹车片,BP7039,BRAKE PAD,500,1000,YBD,
BP8005,刹车片,BP8005,BRAKE PAD,300,600,YBD,
BP8012,刹车片,BP8012,BRAKE PAD,280,560,YBD,
BP8015,刹车片,BP8015,BRAKE PAD,300,600,YBD,
BP8016,刹车片,BP8016,BRAKE PAD,200,400,YBD,
BP8019,刹车片,BP8019,BRAKE PAD,400,800,YBD,
BP8069,刹车片,BP8069,BRAKE PAD,300,600,YBD,
D2228M,刹车片,D2228M,BRAKE PAD,,0,G-STOP,
BP2095,刹车片,BP2095,BRAKE PAD,,0,YBD,
BP1016,刹车片,BP1016,BRAKE PAD,,0,YBD,
A498K,刹车片,A498K,BRAKE PAD,,0,BTC,
BP1026,刹车片,BP1026,BRAKE PAD,,0,YBD,
BP16012,刹车片,BP16012,BRAKE PAD,,0,YBD,
BP11006,刹车片,BP11006,BRAKE PAD,,0,YBD,
BP-700-K-8-F,刹车片,BP-700-K-8-F,BRAKE PAD,,0,FTM,
S-PLUS-D1250,刹车片,S-PLUS-D1250,BRAKE PAD,55,110,YBD,
478-J15T,刹车片,478-J15T,BRAKE PADS,,0,TOYOTA,
BP1002,刹车片,BP1002,BRAKE PADS,,0,YBD,
BP1005,刹车片,BP1005,BRAKE PADS,,0,YBD,
BP1014,刹车片,BP1014,BRAKE PADS,,0,YBD,
BP1015,刹车片,BP1015,BRAKE PADS,,0,YBD,
BP1033,刹车片,BP1033,BRAKE PADS,,0,YBD,
BP1048,刹车片,BP1048,BRAKE PADS,,0,YBD,
BP7038,刹车片,BP7038,BRAKE PADS,,0,YBD,
D1733,刹车片,D1733,BRAKE PADS,,0,ZHZD,
D3446,刹车片,D3446,BRAKE PADS,,0,SAFELINE,
BS5002,刹车蹄,BS5002,BRAKE SHOE,400,800,YBD,
BS7003,刹车蹄,BS7003,BRAKE SHOE,450,900,YBD,
G-BS1010,刹车蹄,G-BS1010,BRAKE SHOE,300,600,YBD,
G-BS1026,刹车蹄,G-BS1026,BRAKE SHOE,240,480,YBD,
G-BS1035,刹车蹄,G-BS1035,BRAKE SHOE,250,500,YBD,
G-D2228,刹车蹄,G-D2228,BRAKE SHOE,150,300,YBD,
G-F653,刹车蹄,G-F653,BRAKE SHOE,350,700,YBD,
BS1010,刹车蹄,BS1010,BRAKE SHOR,,0,YBD,
BS5002,刹车蹄,BS5002,BRAKE SHOR,,0,YBD,
BS1035-G,刹车蹄,BS1035-G,BRAKE SHOR,,0,YBD,
BS1026,刹车蹄,BS1026,BRAKE SHOR,,0,G-STOP,
TO-55A-YBD,外球笼,TO-55A-YBD,C.V JOINT,,0,YBD,
TO-72A-YBD,外球笼,TO-72A-YBD,C.V JOINT,,0,YBD,
TO-72A-YBD,外球笼,TO-72A-YBD,C.V JOINT,450,900,YBD,
TO-75-YBD,外球笼,TO-75-YBD,C.V JOINT,,0,YBD,
BOOMELL-1,化油器清洗剂,BOOMELL-1,CARBURETOR CLEANER,,100,BOOMELL,
CP1017,离合器片,CP1017,CLUTH PLATE,,0,UNKNOW,
CP5014,离合器片,CP5014,CLUTH PLATE,,0,UNKNOW,
CP5013,离合器片,CP5013,CLUTH PLATE,300,600,YBD,
CP5014,离合器片,CP5014,CLUTH PLATE,300,600,YBD,
MQ-1,除锈润滑剂,MQ-1,DERUSTING LUBRICANT,,75,MQ,
EFP1002,电子燃油泵,EFP1002,ELECTRONIC FUEL PUMP,200,400,YBD,
04111-0C080,发动机大修包,04111-0C080,ENGINE GASKET KIT,,0,ACE,
24773001,汽油滤清器,24773001,FUEL FILTER,,0,UNKNOW,
16127451424,汽油滤清器,16127451424,FUEL FILTER,,0,UNKNOW,
195130-7030,电子燃油泵,195130-7030,FUEL PUMP,,0,UNKNOW,
11115-28010-A,汽缸垫,11115-28010-A,HEAD GASKET,55,300,YBD,
TG1009,汽缸垫,TG1009,HEAD GASKET,80,300,YBD,
TG1027,汽缸垫,TG1027,HEAD GASKET,80,300,YBD,
TG1063,汽缸垫,TG1063,HEAD GASKET,100,300,YBD,
11115-28011,汽缸垫,11115-28011,HEAD GASKET,,0,ERSILTG,
TG1041,汽缸垫,TG1041,HEAD GASKET,,0,YBD,
M1052A,大小瓦,M1052A,MAIN*CON ROD BEARING,150,350,YBD,
M703A,大小瓦,M703A,MAIN*CON ROD BEARING,150,350,YBD,
M723A,大小瓦,M723A,MAIN*CON ROD BEARING,150,350,YBD,
M729A,大小瓦,M729A,MAIN*CON ROD BEARING,150,350,YBD,
SANO-1,多功能松锈润滑剂,SANO-1,MUTI-USE DE-RUSTER LUBRICANT,,75,SANO,
04152-YZZA1,机油滤芯,04152-YZZA1,OIL ELEMENT,,180,UNKNOW,
11 42 7 511 161,机油滤芯,11 42 7 511 161,OIL ELEMENT,,0,UNKNOW,
11427512300,机油滤芯,11427512300,OIL ELEMENT,,0,UNKNOW,
11427566327,机油滤芯,11427566327,OIL ELEMENT,,0,UNKNOW,
15607-2070,机油滤芯,15607-2070,OIL ELEMENT,,450,UNKNOW,
A 000 180 26 09,机油滤芯,A 000 180 26 09,OIL FILTER,,0,UNKNOW,
A 104 180 01 09,机油滤芯,A 104 180 01 09,OIL FILTER,,0,UNKNOW,
A 271 180 00 09,机油滤芯,A 271 180 00 09,OIL FILTER,,0,UNKNOW,
A 276 180 00 09,机油滤芯,A 276 180 00 09,OIL FILTER,,0,UNKNOW,
A 651 180 01 09,机油滤芯,A 651 180 01 09,OIL FILTER,,0,UNKNOW,
LR002338,机油滤芯,LR002338,OIL FILTER,,300,UNKNOW,
LR013148,机油滤芯,LR013148,OIL FILTER,,350,UNKNOW,
MAHLE OC1022,机油滤芯,MAHLE OC1022,OIL FILTER,,280,UNKNOW,
ME228898,机油滤芯,ME228898,OIL FILTER,,350,UNKNOW,
Filter-TL001,机油滤芯,Filter-TL001,OIL FILTER,,0,UNKNOW,
Filter-TL002,机油滤芯,Filter-TL002,OIL FILTER,,0,UNKNOW,
44320-26070,转向油泵,44320-26070,POWER STEERING PUMP,,0,UNKNOW,
RD1001,散热器,RD1001,RADIATOR,2000,4000,YBD,
48609-33170,减震器顶胶,48609-33170,SHOCK MOUNTING,,0,UNKNOW,
48609-06170,减震器顶胶,48609-06170,SHOCK MOUNTING,250,500,YBD,
NGK7092,火花塞,NGK7092,SPARK PLUG,85,150,YBD,
SB27T,三叉轴承,SB27T,SPIDER BEARING,,0,MKING,
84306-0K050,气囊游丝,84306-0K050,STEERING COIL,,0,UNKNOW,
47020-75E004,气囊游丝,47020-75E004,STEERING COIL,,0,UNKNOW,
9H22-14A664-AA,气囊游丝,9H22-14A664-AA,STEERING COIL,,0,UNKNOW,
N17-02200-39SUG051,气囊游丝,N17-02200-39SUG051,STEERING COIL,,0,UNKNOW,
WB0-Y4N-3260,气囊游丝,WB0-Y4N-3260,STEERING COIL,,0,UNKNOW,
FUG500010,尾门锁,FUG500010,TAILGATE LOCK,,0,UNKNOW,
TVC500010,万向节,TVC500010,UNIVERSAL JOINT,,0,BRITPART,
